,Referendum,Dienstplicht,Solliciteren,Groepsbegeleiding,Wiet,Vrijlating,Vennootschapsbelasting,Belasting,Tijdelijke contracten,AOW65,Verzekering ZZP,Leenstelsel,Cultuur,Immigranten,Kinderpardon,Onderdak,Hypotheekrente,Verhuurdersheffing,Schiphol,Km heffing,Nieuwe wegen,Kolen,BTW vlees,Voltooid leven,Afschaffen ER,Zorgfonds,Defensie,Europees leger,Ontwikkelingshulp,EU-lid
VVD,1,1,1,3,1,3,3,1,3,1,1,1,1,1,1,3,3,1,3,1,3,3,1,3,1,1,2,1,1,1
pvdA,1,3,3,1,3,3,1,3,1,1,3,1,3,1,3,1,3,3,3,3,1,1,1,3,3,1,1,1,3,1
PVV,3,3,1,3,1,3,1,1,1,3,1,1,1,3,1,3,3,3,3,1,3,3,1,2,3,1,1,1,1,3
SP,3,1,1,1,3,1,1,3,1,3,3,3,3,1,3,1,1,3,1,3,1,1,1,1,3,3,1,1,3,1
CDA,1,3,1,1,1,3,3,1,3,1,3,3,1,1,1,3,3,2,3,1,3,2,1,1,1,1,3,1,1,1
D66,3,1,3,1,3,1,1,1,3,1,1,1,3,1,3,1,1,2,3,3,1,1,1,3,1,1,1,3,3,1
CU,1,3,1,1,1,3,1,1,3,1,3,3,1,1,3,1,1,3,1,3,1,1,1,1,1,1,3,1,3,1
GL,3,1,3,1,3,1,1,3,3,1,3,1,3,1,3,1,1,3,1,3,1,1,3,3,3,2,1,3,3,1
SGP,1,3,1,1,1,3,3,1,3,1,1,1,1,2,1,3,3,1,1,3,3,3,1,1,1,1,3,1,3,1
PvdD,3,1,3,1,3,1,1,3,3,3,1,3,3,1,3,1,1,3,1,3,1,1,3,3,3,3,1,1,3,1
50+,3,2,3,1,3,3,1,2,1,3,3,3,1,1,2,3,3,3,3,1,1,1,1,3,2,3,3,1,1,1
Ondernemers Partij,1,1,1,3,3,3,3,1,3,3,1,3,1,1,1,3,3,3,3,3,3,1,1,3,1,1,3,1,1,1
VNL,3,3,1,3,3,3,3,1,3,1,1,2,1,2,1,3,3,3,3,2,3,3,1,3,1,2,3,1,1,2
DENK,1,1,3,1,3,1,1,3,3,1,3,3,2,1,3,1,1,3,1,3,1,1,1,1,3,1,1,3,3,1
NW,3,3,1,1,3,3,1,1,1,1,3,3,3,1,1,3,3,3,2,1,3,1,1,3,3,2,3,1,1,1
FvD,3,1,1,3,3,3,3,1,3,1,1,3,1,3,1,3,3,3,3,3,3,3,1,3,1,2,3,1,1,3
BB,3,1,1,1,3,1,1,3,3,3,3,3,1,1,2,1,1,3,1,3,1,3,3,3,3,3,1,1,1,3
VP,3,1,2,1,3,1,1,3,3,1,2,3,3,1,3,2,1,3,1,3,1,1,1,3,3,1,1,3,2,1
Piraten,3,1,1,2,3,1,1,1,1,2,1,3,1,1,3,1,1,3,3,1,1,1,1,3,3,3,1,1,2,1
Artikel 1,1,1,1,1,3,1,1,3,1,1,3,3,3,1,3,1,1,3,2,3,1,1,3,1,1,3,3,3,3,1
Liberarische Partij,3,1,1,3,3,1,3,1,3,1,1,1,1,1,3,1,1,3,3,3,3,3,1,3,3,1,1,1,1,3
Lokaal,3,1,3,1,2,3,3,1,3,3,3,3,1,1,3,1,3,3,2,3,3,1,1,3,3,3,1,1,1,1
